data_id,with_comp_action,use_comp_subtask_chain,use_atom_subtask_chain,done,env_steps,agents_steps,communication_times,CABTP_expanded_num,dmr_record_expanded_num,total_expanded_num,CABTP_expanded_time,dmr_expanded_time,total_expanded_time
1,False,False,False,True,73,146,0,0,68,68,0.0,0.006979227066040039,0.006979227066040039
1,False,False,True,True,73,136,16,0,68,68,0.0,0.006979227066040039,0.006979227066040039
1,True,False,False,True,103,206,0,6,4,10,0.0,0.001500844955444336,0.001500844955444336
1,True,False,True,True,103,206,0,6,4,10,0.0,0.001500844955444336,0.001500844955444336
1,True,True,False,True,64,104,4,6,4,10,0.0,0.001500844955444336,0.001500844955444336
1,True,True,True,True,64,104,4,6,4,10,0.0,0.001500844955444336,0.001500844955444336
2,False,False,False,True,128,255,0,0,657,657,0.0,0.13274073600769043,0.13274073600769043
2,False,False,True,True,128,254,30,0,657,657,0.0,0.13274073600769043,0.13274073600769043
2,True,False,False,True,128,255,0,8,4,12,0.0019931793212890625,0.002990245819091797,0.004983425140380859
2,True,False,True,True,128,255,0,8,4,12,0.0019931793212890625,0.002990245819091797,0.004983425140380859
2,True,True,False,True,64,128,4,8,4,12,0.0019931793212890625,0.002990245819091797,0.004983425140380859
2,True,True,True,True,64,128,4,8,4,12,0.0019931793212890625,0.002990245819091797,0.004983425140380859
3,False,False,False,True,75,149,0,0,201,201,0.0,0.02861475944519043,0.02861475944519043
3,False,False,True,True,73,138,18,0,201,201,0.0,0.02861475944519043,0.02861475944519043
3,True,False,False,True,74,147,0,0,142,142,0.0,0.017626285552978516,0.017626285552978516
3,True,False,True,True,74,138,18,0,142,142,0.0,0.017626285552978516,0.017626285552978516
3,True,True,False,True,74,147,0,0,142,142,0.0,0.017626285552978516,0.017626285552978516
3,True,True,True,True,74,138,18,0,142,142,0.0,0.017626285552978516,0.017626285552978516
4,False,False,False,True,73,146,0,0,46,46,0.0,0.0029900074005126953,0.0029900074005126953
4,False,False,True,True,73,136,16,0,46,46,0.0,0.0029900074005126953,0.0029900074005126953
4,True,False,False,True,73,146,0,0,47,47,0.0,0.0029947757720947266,0.0029947757720947266
4,True,False,True,True,73,136,16,0,47,47,0.0,0.0029947757720947266,0.0029947757720947266
4,True,True,False,True,73,146,0,0,47,47,0.0,0.0029947757720947266,0.0029947757720947266
4,True,True,True,True,73,136,16,0,47,47,0.0,0.0029947757720947266,0.0029947757720947266
5,False,False,False,True,128,509,0,0,852,852,0.0,0.10984277725219727,0.10984277725219727
5,False,False,True,True,128,506,58,0,852,852,0.0,0.10984277725219727,0.10984277725219727
5,True,False,False,True,64,254,0,8,8,16,0.000997304916381836,0.005980968475341797,0.006978273391723633
5,True,False,True,True,64,254,0,8,8,16,0.000997304916381836,0.005980968475341797,0.006978273391723633
5,True,True,False,True,64,128,4,8,8,16,0.000997304916381836,0.005980968475341797,0.006978273391723633
5,True,True,True,True,64,128,4,8,8,16,0.000997304916381836,0.005980968475341797,0.006978273391723633
6,False,False,False,True,128,255,0,0,345,345,0.0,0.05034232139587402,0.05034232139587402
6,False,False,True,True,128,255,30,0,345,345,0.0,0.05034232139587402,0.05034232139587402
6,True,False,False,True,104,207,0,8,79,87,0.0009748935699462891,0.010832548141479492,0.011807441711425781
6,True,False,True,True,104,207,6,8,79,87,0.0009748935699462891,0.010832548141479492,0.011807441711425781
6,True,True,False,True,104,207,4,8,79,87,0.0009748935699462891,0.010832548141479492,0.011807441711425781
6,True,True,True,True,104,198,10,8,79,87,0.0009748935699462891,0.010832548141479492,0.011807441711425781
7,False,False,False,True,104,312,0,0,240,240,0.0,0.024214506149291992,0.024214506149291992
7,False,False,True,True,103,290,30,0,240,240,0.0,0.024214506149291992,0.024214506149291992
7,True,False,False,True,103,309,0,6,97,103,0.0005023479461669922,0.01157379150390625,0.012076139450073242
